HTS CODE	DESCRIPTION	BASE DUTY RATE
8706.00.25.00	For vehicles of heading 8705	1.60%
9025.80.50.00	Other	1.60%
9902.03.87	"2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)-1,3-benzenediamine (Prodiamine) (CAS No. 29091-21-2) (provided for in subheading 2921.59.80)"	1.60%
9902.05.94	"2-Octanyl [(4-amino-3,5-dichloro-6-fluoro-2-pyridinyl)oxy]acetate (Fluroxypyr-meptyl) (CAS No. 81406-37-3) (provided for in subheading 2933.39.25)"	1.60%
9902.06.80	"5-[(4-Chlorophenyl)methyl]-2,2-dimethyl-1-(1,2,4-triazol- 1-ylmethyl)cyclopentan-1-ol (Metconazole) (CAS No. 125116-23-6) (provided for in subheading 2933.99.22)"	1.60%
9902.09.66	"Mixtures of 5,7-dichloro-4-(4-fluorophenoxy)quinoline (Quinoxyfen) (CAS No. 124495-18-7) and application adjuvants (provided for in subheading 3808.92.15)"	1.60%
9902.11.23	"Polymer of 1,4-benzenedicarboxylic acid with 1,4-butanediol and hexanedioic acid (CAS No. 60961-73-1) (provided for in subheading 3907.99.50)"	1.60%
9902.15.34	"Manicure and pedicure sets, each set containing clippers, files and similar manicure or pedicure products; the foregoing not in leather containers (provided for in subheading 8214.20.90)"	1.60%
9902.15.37	"Armored safes of welded steel; each weighing 11.8 kg or less, valued $24 or more but not over $36, with digital lock. (provided for in heading 8303.00.00)"	1.60%
9902.16.40	Used generators (alternators) of a kind used in conjunction with spark ignition or compression ignition internal combustion engines (provided for in subheading 8511.50.00)	1.60%
2805.40.00.00	Mercury	1.70%
2836.99.30.00	Commercial ammonium carbonate and other ammonium carbonates	1.70%
2837.20.51.00	Other	1.70%
4302.19.75.00	Dyed	1.70%
4302.20.90.00	Dyed	1.70%
6207.19.10.00	Containing 70 percent or more by weight of silk or silk waste (752)	1.70%
7409.31.50.00	Of a width of 500 mm or more	1.70%
7409.39.50.00	Of a width of 500 mm or more	1.70%
7409.90.50	Of a width of 500 mm or more	1.70%
8467.21.00	Drills of all kinds	1.70%
9025.80.10.00	Electrical	1.70%
9030.33.34.00	Resistance measuring instruments	1.70%
9031.20.00.00	Test benches	1.70%
9032.10.00	Thermostats	1.70%
9032.89.40.00	Other	1.70%
9032.89.60	Other	1.70%
9032.90.41.00	Other	1.70%
9032.90.61	Other	1.70%
9902.02.59	Cyclopentanone (CAS No. 120-92-3) (provided for in subheading 2914.29.50)	1.70%
9902.13.28	"Viscose rayon staple fibers having a decitex of less than 5.0 and a trilobal multi-limbed cross-section, the limbs having a length-to-width aspect ratio of at least 2:1, suitable for use in producing goods of heading 9619 (provided for in subheading 5504.10.00)"	1.70%
9902.13.63	"Women's skirts and divided skirts, wholly of silk (provided for in subheading 6204.59.40)"	1.70%
9902.14.61	"Hats and headgear of vegetable fibers, of unspun fibrous vegetable materials, of paper yarn or of any combination thereof, of plaited strips or made by assembling strips and not sewed (provided for in subheading 6504.00.60)"	1.70%
9902.15.52	"High pressure fuel pumps, each incorporating a default open or closed solenoid valve, certified by the importer to be used in regulating the fuel supply into the fuel rail, designed for use in gasoline direct injection (GDI) spark-ignition internal combustion piston engines (provided for in subheading 8413.30.90); the foregoing other than used goods"	1.70%
9902.16.02	"Flexplates designed for use in compression-ignition engines of a cylinder capacity equal to or greater than 6,000 cc but not exceeding 20,000 cc, such flexplates measuring 5 cm or more but not over 150 cm in length, 22 cm or more but not over 150 cm in width and 2 cm or more but not over 150 cm in height (provided for in subheading 8483.60.80)"	1.70%
9902.16.06	"Power back door (liftgate) actuator assemblies for the motor vehicles of headings 8701 to 8705, each consisting of a brushless electric DC motor that generates between 350 and 400 W, an electromagnetic clutch, a clutch magnet, a clutch flywheel, a clutch plate, a sensor and a housing (provided for in subheading 8501.31.40)"	1.70%
0106.31.00.00	Birds of prey	1.80%
0106.32.00.00	"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"	1.80%
0106.33.00.00	Ostriches; emus (Dromaius novaehollandiae)	1.80%
0106.39.01.00	Other	1.80%
0813.40.10.00	Papayas	1.80%
1109.00.10.00	To be used as animal feed	1.80%
1602.50.60.00	Other	1.80%
2007.99.05.00	Lingonberry and raspberry	1.80%
2008.99.50.00	Other	1.80%
2849.10.00.00	Of calcium	1.80%
2915.21.00.00	Acetic acid	1.80%
2915.40.10.00	Chloroacetic acids	1.80%
3210.00.00.00	"Other paints and varnishes (including enamels, lacquers and distempers); prepared water pigments of a kind used for finishing leather"	1.80%
3215.11.30.00	Other	1.80%
3215.11.90	Other	1.80%
3215.19.30.00	Other	1.80%
3215.19.90	Other	1.80%
3215.90.50.00	Other	1.80%
3301.29.10.00	Of eucalyptus	1.80%
4205.00.40.00	Straps and strops	1.80%
8424.89.90.00	Other	1.80%
8450.19.00.00	Other	1.80%
8472.30.00.00	"Machines for sorting or folding mail or for inserting mail in envelopes or bands, machines for opening, closing or sealing mail and machines for affixing or canceling postage stamps"	1.80%
9113.90.80.00	Other	1.80%
9602.00.40.00	Molded or carved articles of wax	1.80%
9902.04.71	"(S)-?-Cyano-3-phenoxybenzyl (1R,3R)-3- (2,2-dibromovinyl)-2,2-dimethylcyclopropanecarboxylate (Deltamethrin) (CAS No. 52918-63-5) (provided for in subheading 2926.90.30)"	1.80%
9902.06.99	"(4RS,5RS)-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2- oxo-1,3-thiazolidine-3-carboxamide (Hexythiazox) (CAS No. 78587-05-0) (provided for in subheading 2934.10.10)"	1.80%
9902.09.35	"Formulations of O,S-dimethyl acetylphosphoramidothioate (Acephate) (CAS No. 30560-19-1) (provided for in subheading 3808.91.50)"	1.80%
9902.14.87	Liquid-filled glass bulbs designed for use in sprinkler systems and other release devices (provided for in subheading 7020.00.60)	1.80%
9902.15.64	"Self-contained, portable air conditioning machines, not designed to be fixed to a window, wall, ceiling or floor, with cooling capacity rated at 3.52 kW per hour or more but less than 17.58 kW per hour (provided for in subheading 8415.82.01)"	1.80%
9902.16.70	"Electrothermic slow cookers of a kind used for domestic purposes with stainless steel or painted metal exterior, each with a glass lid and removable ceramic cooking pot with a capacity of 5.68 liters, such cooker having five cooking functions (slow cook, brown and saute, steam, bake and roast) controlled by a digital control panel (provided for in subheading 8516.79.00), the foregoing without a thermometer probe or boiling and simmering functions"	1.80%
0602.30.00.00	"Rhododendrons and azaleas, grafted or not"	1.90%
0602.90.60	With soil attached to roots	1.90%
0706.90.30.00	Beets and horseradish	1.90%
0712.90.70.00	Other	1.90%
0910.91.00.00	Mixtures referred to in note 1(b) to this chapter	1.90%
0910.99.60.00	Other	1.90%
1208.10.00	Of soybeans	1.90%
1602.10.10.00	Put up for retail sale as food suitable for infants or for dietetic purposes	1.90%
2207.20.00	"Ethyl alcohol and other spirits, denatured, of any strength"	1.90%
2308.00.95.00	Dehydrated marigolds	1.90%
2309.90.60.00	Animal feeds containing egg	1.90%
2836.40.10.00	Dipotassium carbonate	1.90%
4010.12.90.00	Other	1.90%
4010.19.80.00	Other	1.90%
4010.35.50.00	Other	1.90%
4010.36.50.00	Other	1.90%
4010.39.50.00	Other	1.90%
6802.21.50.00	Other	1.90%
7202.21.75.00	Containing by weight more than 80 percent but not more than 90 percent of silicon	1.90%
7202.41.00.00	Containing by weight more than 4 percent of carbon	1.90%
7202.49.10.00	Containing by weight more than 3 percent of carbon	1.90%
7407.21.70.00	Having a rectangular cross section	1.90%
7409.21.00	In coils	1.90%
7409.29.00	Other	1.90%
8418.29.20.00	Other	1.90%
8543.10.00.00	Particle accelerators	1.90%
9902.03.07	o-Acetylsalicylic acid (Aspirin) (CAS No. 50-78-2) (provided for in subheading 2918.22.10)	1.90%
9902.05.49	"3-(2,4-Dichlorophenyl)-2-oxo-1-oxaspiro[4.5] dec-3-en-4-yl 2,2-dimethylbutanoate (Spirodiclofen) (CAS No. 148477-71-8) (provided for in subheading 2932.20.10)"	1.90%
9902.06.51	"4-Amino-6-tert-butyl-3-methylthio-1,2,4-triazin-5(4H)-one (Metribuzin) (CAS No. 21087-64-9) (provided for in subheading 2933.69.60)"	1.90%
9902.14.59	"Hats and headgear of vegetable fibers, of unspun fibrous vegetable materials, of paper yarn or of any combination thereof, made by assembling strips and sewed (provided for in subheading 6504.00.30)"	1.90%
9902.15.43	"High silicon molybdenum exhaust manifolds for use in compression-ignition internal combustion piston engines (diesel or semi-diesel engines) with cylinder capacity of 2,300 cc or more but not exceeding 20,000 cc, each manifold measuring at least 80 cm but not exceeding 200 cm in length, at least 10 cm but not over 200 cm in width, and at least 10 cm but not exceeding 200 cm in height (provided for in subheading 8409.99.91)"	1.90%
9902.15.94	"Fuel Injectors, other than used, each incorporating a valve and a micro-stamped orifice hole, certified by the importer as designed to deliver fuel to the combustion chamber of a gasoline engine with a pressure not exceeding 120 Mpa (1200 bar) (provided for in subheading 8481.80.90)"	1.90%
9902.16.01	"Used fixed ratio speed changers (provided for in subheading 8483.40.50), other than transmissions for the vehicles of headings 8701, 8702, 8703, 8704, and 8705"	1.90%
9902.16.16	"Electric generating sets, each with spark-ignition internal combustion piston engine fueled by natural gas (provided for in subheading 8502.20.00)"	1.90%
1401.20.40.00	Other	2%
1806.20.60.00	Confectioners' coatings and other products (except confectionery) containing by weight not less than 6.8 percent non-fat solids of the cocoa bean nib and not less than 15 percent of vegetable fats other than cocoa butter	2%
2816.40.20.00	Of barium	2%
3823.70.40.00	Other	2%
4102.10.30.00	Other	2%
4102.29.30.00	Other	2%
4105.10.10.00	Wet blues	2%
4105.10.90.00	Other	2%
4105.30.00.00	In the dry state (crust)	2%
4112.00.30	Not fancy	2%
4112.00.60.00	Fancy	2%
7323.93.00	Of stainless steel	2%
7413.00.50.00	Other	2%
7507.11.00.00	"Of nickel, not alloyed"	2%
7507.12.00.00	Of nickel alloys	2%
7806.00.05.00	"Lead tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves)"	2%
8112.92.70.00	Vanadium	2%
8112.99.20.00	Vanadium	2%
8302.10.30.00	Designed for motor vehicles	2%
8302.30.30	"Of iron or steel, of aluminum or of zinc"	2%
8464.20.01	Grinding or polishing machines	2%
8464.90.01	Other	2%
8473.40.41.00	Other parts and accessories of the machines of 8472.90.50	2%
8481.10.00	Pressure-reducing valves	2%
8481.20.00	Valves for oleohydraulic or pneumatic transmissions	2%
8481.40.00.00	Safety or relief valves	2%
8481.80.90	Other	2%
8501.32.61.00	Generators	2%
8501.34.61.00	Generators	2%
8501.72.20.00	Of an output exceeding 750 W but not exceeding 75 kW	2%
8501.72.90.00	Other	2%
8502.13.00	Of an output exceeding <il>375 kVA</il>	2%
8502.20.00	Generating sets with spark-ignition internal combustion piston engines	2%
8516.50.00	Microwave ovens	2%
8527.21.25	Other	2%
8535.29.00	Other	2%
8539.10.00	Sealed beam lamp units	2%
8539.52.00	Light-emitting diode (LED) lamps	2%
8543.70.71.00	Electric luminescent lamps	2%
8702.10.31.00	"Designed for the transport of 16 or more persons, including the driver"	2%
8702.10.61.00	Other	2%
8702.20.31.00	"Designed for the transport of 16 or more  persons, including the driver"	2%
8702.20.61.00	Other	2%
8702.30.31.00	"Designed for the transport of 16 or more  persons, including the driver"	2%
8702.30.61.00	Other	2%
8702.40.31.00	"Designed for the transport of 16 or more persons, including the driver"	2%
8702.40.61.00	Other	2%
8702.90.31.00	"Designed for the transport of 16 or more persons, including the driver"	2%
8702.90.61.00	Other	2%
9001.30.00.00	Contact lenses	2%
9001.40.00.00	Spectacle lenses of glass	2%
9001.50.00.00	Spectacle lenses of other materials	2%
9004.10.00.00	Sunglasses	2%
9620.00.10.00	Accessories suitable for use solely or principally with the apparatus of heading 8519 or 8521	2%
9902.02.87	Benzoyl chloride (CAS No. 98-88-4) (provided for in subheading 2916.32.20)	2.00%
9902.02.93	Sebacic acid (CAS No. 111-20-6) (provided for in subheading 2917.13.00)	2.00%
9902.03.09	4-Hydroxybenzoic acid (CAS No. 99-96-7) (provided for in subheading 2918.29.22)	2.00%
9902.04.52	Methyl (chlorocarbonyl)[4-(trifluoromethoxy)phenyl]carbamate (CAS No. 173903-15-6) (provided for in subheading 2924.29.71)	2.00%
9902.05.73	"3-(3,5-Dichlorophenyl)-N-isopropyl-2,4-dioxoimidazoli- dine-1-carboxamide (Iprodione) (CAS No. 36734-19-7) (provided for in subheading 2933.21.00)"	2.00%
9902.09.96	"Mixtures of methylsulfanilycarbamate, sodium salt (Asulam sodium salt) (CAS No. 2302-17-2) and application adjuvants (provided for in subheading 3808.93.15)"	2.00%
9902.15.35	"Padlocks of base metal, of cylinder or pin tumbler construction, each measuring over 3.8 cm but not over 6.4 cm in width, not put up for retail sale (provided for in subheading 8301.10.80)"	2.00%
9902.16.09	"AC electric motors of an output exceeding 37.5w but not exceeding 72w, single phase, each equipped with a capacitor, a speed control mechanism, and a motor mount of plastics and a self-contained gear mechanism for oscillation (provided for in subheading 8501.40.20)."	2.00%
2006.00.40.00	Pineapples	2.10%
2906.11.00.00	Menthol	2.10%
2915.60.50.00	Other	2.10%
3506.10.50.00	Other	2.10%
3506.91.50.00	Other	2.10%
3506.99.00.00	Other	2.10%
3909.50.20.00	Cements	2.10%
4302.11.00	Of mink	2.10%
4302.20.30.00	"Of beaver, Caracul or Persian lamb, chinchilla, ermine, fisher, fitch, fox, Kolinsky, leopard, lynx, marten, mink, nutria, ocelot, otter, pony, racoon, sable or wolf"	2.10%
6108.29.10.00	Containing 70 percent or more by weight of silk or silk waste (752)	2.10%
7116.20.30.00	Graded semiprecious stones strung temporarily for convenience of transport	2.10%
7601.20.60.00	Containing 25 percent or more by weight of silicon	2.10%
8007.00.10	"Articles not elsewhere specified or included of a type used for household, table or kitchen use; toilet and sanitary wares; all the foregoing not coated or plated with precious metal"	2.10%
8505.11.00	Of metal	2.10%
9601.90.40.00	"Coral, cut but not set, and cameos, suitable for use in jewelry"	2.10%
9902.01.35	Iron(III) oxide (Pigment red 101) (CAS No. 1309-37-1) (provided for in subheading 2821.10.00)	2.10%
9902.01.94	"2-Bromo-1,3-diethyl-5-methylbenzene (CAS No. 314084-61-2) (DEMBB) (provided for in subheading 2903.99.80)"	2.10%
9902.10.93	Polyperfluoroethoxymethoxydifluoroethyl polyethylene glycol ether (CAS No. 88645-29-8) (provided for in subheading 3904.69.50)	2.10%
9902.14.66	"Umbrella frames, not presented with bases, the foregoing with aluminum center support poles of a length greater than 2.133 m, whether or not including a tilt function (provided for in subheading 6603.20.90)"	2.10%
9902.14.72	"Catalytic converter needled blanket mats of ceramic fibers containing over 65 percent by weight of aluminum oxide, containing an acrylic latex organic binder of greater than 3 percent and less than 7 percent by weight, of a basis weight less than 1745 g/m2, measuring at least 5.0 mm or no more than 9.9 mm in thickness, in bulk, sheets or rolls, designed for motor vehicles of heading 8703 (provided for in subheading 6806.10.00)."	2.10%
